,,Deprecated,Preview,Reactions,Raw,Cached,Scopes,SNI,,,,HTTP Code,array of arrays,"array of hashrefs, paged",hash ref,Empty body,Array ref,authenticated user,Location,Sends array,params,
Pull Requests,,,,,,,,,Update a pull request,PATCH,/repos/:owner/:repo/pulls/:number,200,,,x,,,,,,,"application/vnd.github.VERSION.{raw,html,text,full,diff,patch}+json"
Pull Requests,,,,,,,,,List commits on a pull request,GET,/repos/:owner/:repo/pulls/:number/commits,200,,x,,,,,,,,"application/vnd.github.VERSION.{raw,html,text,full,diff,patch}+json"
Pull Requests,,,,,,,,,List pull requests files,GET,/repos/:owner/:repo/pulls/:number/files,200,,x,,,,,,,,"application/vnd.github.VERSION.{raw,html,text,full,diff,patch}+json"
Pull Requests,,,,,,,,,Get if a pull request has been merged,GET,/repos/:owner/:repo/pulls/:number/merge,"204,404",,,,x,,,,,,"application/vnd.github.VERSION.{raw,html,text,full,diff,patch}+json"
Pull Requests,,,,,,,,,Merge a pull request (Merge Button),PUT,/repos/:owner/:repo/pulls/:number/merge,"200,405,409",,,x,,,,,,,"application/vnd.github.VERSION.{raw,html,text,full,diff,patch}+json,application/vnd.github.polaris-preview+json"
Pull Requests,Review Comments,,,x,,,,,List comments on a pull request,GET,/repos/:owner/:repo/pulls/:number/comments,200,,x,,,,,,,,"application/vnd.github.VERSION.{raw,text,html,full,diff,patch}+json"
Pull Requests,Review Comments,,,x,,,,,List comments in a repository,GET,/repos/:owner/:repo/pulls/comments,200,,x,,,,,,,"sort={created*,updated},direction={asc,desc},since=ISO8601",
Pull Requests,Review Comments,,,x,,,,,Get a single comment,GET,/repos/:owner/:repo/pulls/comments/:id,200,,,x,,,,,,,
Pull Requests,Review Comments,,,,,,,,Create a comment,POST,/repos/:owner/:repo/pulls/:number/comments,201,,,x,,,,x,,lots of stuff,
Pull Requests,Review Comments,,,,,,,,Edit a comment,PATCH,/repos/:owner/:repo/pulls/comments/:id,200,,,x,,,,,,body=S,
Pull Requests,Review Comments,,,,,,,,Delete a comment,DELETE,/repos/:owner/:repo/pulls/comments/:id,204,,,,x,,,,,,
Reactions,Commit Comment,,x,,,,,,List reactions for a commit comment,GET,/repos/:owner/:repo/comments/:id/reactions,200,,x,,,,,,,"content={+1,-1,laugh,confused,heart,hooray}",
Reactions,Commit Comment,,x,,,,,,Create reaction for a commit comment,POST,/repos/:owner/:repo/comments/:id/reactions,201,,,x,,,,,,"content={+1,-1,laugh,confused,heart,hooray}",
Reactions,Issue,,x,,,,,,List reactions for an issue,GET,/repos/:owner/:repo/issues/:number/reactions,200,,x,,,,,,,"content={+1,-1,laugh,confused,heart,hooray}",
Reactions,Issue,,x,,,,,,Create reaction for an issue,POST,/repos/:owner/:repo/issues/:number/reactions,201,,,x,,,,,,"content={+1,-1,laugh,confused,heart,hooray}",
Reactions,Issue Comment,,x,,,,,,List reactions for an issue comment,GET,/repos/:owner/:repo/issues/comments/:id/reactions,200,,x,,,,,,,"content={+1,-1,laugh,confused,heart,hooray}",
Reactions,Issue Comment,,x,,,,,,Create reaction for an issue comment,POST,/repos/:owner/:repo/issues/comments/:id/reactions,201,,,x,,,,,,"content={+1,-1,laugh,confused,heart,hooray}",
Reactions,Pull Request Review Comment,,x,,,,,,List reactions for a pull request review comment,GET,/repos/:owner/:repo/pulls/comments/:id/reactions,200,,x,,,,,,,"content={+1,-1,laugh,confused,heart,hooray}",
Reactions,Pull Request Review Comment,,x,,,,,,Create reaction for a pull request review comment,POST,/repos/:owner/:repo/pulls/comments/:id/reactions,201,,,x,,,,,,"content*={+1,-1,laugh,confused,heart,hooray}",
Reactions,Pull Request Review Comment,,x,,,,,,Delete a reaction,DELETE,/reactions/:id,204,,,x,,,,,,,
Repositories,,,,,,,,,List your repositories,GET,/user/repos,200,,x,,,,x,,,losts,
Repositories,,,,,,,,,List user repositories,GET,/users/:username/repos,201,,x,,,,,,,,
Repositories,,,,,,,,,List organization repositories,GET,/orgs/:org/repos,202,,x,,,,,,,"type={all*, public, private, forks, sources, member}",
Repositories,,,,,,,,,List all public repositories,GET,/repositories,203,,x,,,,,,,since=ID,
Repositories,,,,,,,,,Create new repo for authenticated user,POST,/user/repos,201,,,x,,,,,,lots of stuff,
Repositories,,,,,,,,,Create new repo for org,POST,/orgs/:org/repos,201,,,x,,,,,,lots of stuff,
Repositories,,,x,,,,,,Get,GET,/repos/:owner/:repo,200,,,x,,,,,,, application/vnd.github.polaris-preview
Repositories,,,x,,,,,,Edit,PATCH,/repos/:owner/:repo,200,,,x,,,,,,lots of stuff, application/vnd.github.polaris-preview
Repositories,,,,,,x,,,List contributors,GET,/repos/:owner/:repo/contributors,200,,x,,,,,,,anon=true,
Repositories,,,,,,,,,List languages,GET,/repos/:owner/:repo/languages,200,,,x,,,,,,,
Repositories,,,,,,,,,List Teams,GET,/repos/:owner/:repo/teams,200,,x,,,,,,,,
